user_id,age_group,gender,raw_brand,item_id,mapped_model,budget_level,usage_fit,style,performance,comfort,easy_to_ride,fuel_saving,storage_need,safety_level,technology_level,maintenance_easy,,Note,,
UID54,young_adult,male,HONDA,I007,PCX 160,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID55,teen,female,HONDA,I007,PCX 160,Unknown,Unknown,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID56,teen,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,modern",high,medium,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID57,adult,female,HONDA,I007,PCX 160,Unknown,daily,"sporty,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID58,adult,female,HONDA,I007,PCX 160,low,"work,shopping,family,storage_heavy","sporty,premium,beauty",Unknown,high,Unknown,Unknown,TRUE,Unknown,medium,Unknown,,,,
UID59,adult,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,premium,modern,beauty",Unknown,Unknown,Unknown,Unknown,TRUE,high,high,Unknown,,,,
UID60,young_adult,male,HONDA,I007,PCX 160,Unknown,Unknown,"sporty,modern,beauty",high,high,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID61,teen,male,HONDA,I006,N-MAX,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID62,teen,female,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID63,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,modern,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,high,Unknown,,,,
UID64,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,"sporty,beauty",high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID65,teen,unknown,YAMAHA,I006,N-MAX,Unknown,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID66,teen,male,YAMAHA,I006,N-MAX,Unknown,Unknown,beauty,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID67,teen,female,HONDA,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID68,teen,male,Yadea,I006,N-MAX,Unknown,daily,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID69,teen,female,HONDA,I008,Scoopy i,low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID70,teen,female,HONDA,I008,Scoopy i,low,Unknown,cute,Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID71,teen,female,HONDA,I008,Scoopy i,Unknown,Unknown,Unknown,Unknown,medium,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID72,young_adult,female,HONDA,I008,Scoopy i,low,city,"compact,beauty",medium,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID73,young_adult,male,HONDA,I008,Scoopy i,low,Unknown,"cute,compact",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID74,teen,female,HONDA,I008,Scoopy i,low,Unknown,compact,Unknown,medium,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID75,teen,male,HONDA,I003,Forza 350,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID76,teen,female,vespa,I004,Giorno+,Unknown,"daily,work,shopping","classic,modern,beauty",high,high,Unknown,Unknown,TRUE,Unknown,medium,TRUE,,,,
UID77,young_adult,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID78,teen,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,high,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID79,young_adult,male,HONDA,I009,Wave 125i,low,"city,daily,work,shopping",beauty,medium,medium,TRUE,TRUE,TRUE,Unknown,Unknown,TRUE,,,,
UID80,young_adult,male,HONDA,I009,Wave 125i,Unknown,"daily,work,family",Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,medium,TRUE,,,,
UID81,adult,female,HONDA,I009,Wave 125i,low,Unknown,Unknown,Unknown,medium,TRUE,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID82,adult,male,HONDA,I009,Wave 125i,Unknown,"family,rough_road",compact,high,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID83,adult,male,HONDA,I009,Wave 125i,low,"work,shopping",Unknown,high,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID84,adult,female,HONDA,I009,Wave 125i,low,"daily,work,shopping,family",Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,,,,
UID85,young_adult,male,HONDA,I009,Wave 125i,low,"work,shopping",modern,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,,,,
UID86,adult,male,YAMAHA,I006,N-MAX,low,"long_distance,trip",sporty,high,high,Unknown,TRUE,Unknown,Unknown,high,TRUE,,,,
UID87,young_adult,female,YAMAHA,I006,N-MAX,low,shopping,"sporty,beauty",Unknown,high,Unknown,Unknown,Unknown,Unknown,medium,Unknown,,,,
UID88,teen,female,HONDA,I006,N-MAX,Unknown,Unknown,Unknown,Unknown,high,Unknown,TRUE,TRUE,high,high,Unknown,,,,
UID89,young_adult,male,YAMAHA,I006,N-MAX,Unknown,Unknown,sporty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID90,teen,female,HONDA,I008,Scoopy i,Unknown,Unknown,beauty,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
UID91,teen,male,HONDA,I008,Scoopy i,Unknown,Unknown,"classic,cute,compact,beauty",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,
